,fwt_mrr_entity,fwt_hits@1_entity,fwt_hits@3_entity,fwt_hits@10_entity,fwt_mrr_relation,fwt_hits@1_relation,fwt_hits@3_relation,fwt_hits@10_relation,fwt_mrr,fwt_hits@1,fwt_hits@3,fwt_hits@10
ER-entity,0.3657117405813373,0.2737097234103222,0.3999714856002281,0.5512974051896208,0.9468794553749643,0.9211861990305104,0.9677216994582264,0.9885372112917022,0.5594343678714001,0.4895352152837183,0.5892215568862276,0.697044007223648
ER-entity-relation,0.3734374164617194,0.2818363273453094,0.40963786712289707,0.554947248360422,0.9794160562802966,0.9661819218705446,0.99258625605931,0.9969774736241802,0.5754302778371828,0.5099515255203878,0.603953996768368,0.7022906567816748
ER-relation,0.258117721031152,0.18619903051040776,0.27975477616196176,0.40262332477901336,0.9623243468420303,0.9439406900484745,0.9794126033646992,0.9891074992871399,0.49285324440404904,0.43877958368976333,0.5129740518962076,0.5981180496150557
hybrid-entity,0.36468887002780154,0.2726261762189906,0.40005702879954375,0.5503849443969204,0.9491969186626746,0.9244368406045053,0.9694895922440833,0.9895637296834902,0.5595248862394259,0.4898963976808288,0.589867883281057,0.6967778728257771
hybrid-entity-relation,0.3714928959046193,0.2790134017678928,0.4103222127174223,0.5547476475620188,0.9800431503065298,0.9673795266609637,0.992814371257485,0.9968634160250927,0.5743429807052561,0.5084687767322498,0.6044862655641099,0.7021195703830434
hybrid-relation,0.25762601471164814,0.18454519532363842,0.2804676361562589,0.4037639007698888,0.9643351689478187,0.9466210436270316,0.9802680353578557,0.9909324208725406,0.4931957142263093,0.4385704780914362,0.5137344358901246,0.5994867408041061
RP-entity,0.35534837133768177,0.26230396350156826,0.38848018249215854,0.5436840604505275,0.9504858586398631,0.9254633589962931,0.9716566866267464,0.9903051040775591,0.5537274780795551,0.48335709533314325,0.5828723505370212,0.6925577416595381
RP-entity-relation,0.3648783905403479,0.2728828058169375,0.3998289136013687,0.5459937268320502,0.9800058365412033,0.9673795266609637,0.9925292272597661,0.9968063872255488,0.5699209467968824,0.5043817127649463,0.5973956848208345,0.6962646136298831
RP-relation,0.17334248912888509,0.1090105503279156,0.18249215854006273,0.3019960079840319,0.977589241160536,0.9629883090960935,0.9924721984602224,0.9980610208155118,0.4414247398061021,0.3936698032506416,0.452485505180116,0.5340176789278586
